bta_name,aphia_id,taxon_level,genus,family,order,class,phylum,n_sites,total_abund,in_biotic,Size,LifeSpan,feedingmethod,mobility,growthform,Bioturbator,bio_none,bio_biodiff,bio_upward,bio_downward,bio_bioirr,bio_surf_mod,size<5,size_5_10,size_10_20,size_20_40,size_40_80,size>80,life<1,life_1_3,life_3_5,life_5_10,life>10,feed_deposit,feed_suspension,feed_detritus,feed_scavenger,feed_grazer,feed_predator,morph_soft,morph_tunic,morph_exoskeleton,morph_crustose,morph_cushion,morph_stalked,morph_endoskeleton,mob_fixed,mob_limited,mob_slow,mob_mobile
Goniada maculata,130140,species,Goniada,Goniadidae,Phyllodocida,Polychaeta,Annelida,52,52,TRUE,Small-medium(3-10cm),NA,"Predator, Scavenger","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Timoclea ovata,141929,species,Timoclea,Veneridae,Venerida,Bivalvia,Mollusca,49,49,TRUE,Small(1-2cm),NA,"Passive suspension feeder, Active suspension feeder",Crawler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinocyamus pusillus,124273,species,Echinocyamus,Fibulariidae,Echinolampadacea,Echinoidea,Echinodermata,48,48,TRUE,Small(1-2cm),Insufficient information,"Surface deposit feeder, Sub-surface deposit feeder",Burrower,Globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nephtys hombergii,130359,species,Nephtys,Nephtyidae,Phyllodocida,Polychaeta,Annelida,40,40,TRUE,Medium(11-20 cm),3-5 years,"Predator, Scavenger","Swimmer, Crawler, Burrower",Vermiform segmented,Diffusive mixing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nereimyra punctata,130185,species,Nereimyra,Hesionidae,Phyllodocida,Polychaeta,Annelida,38,38,TRUE,Small(1-2cm),NA,"Surface deposit feeder, Sub-surface deposit feeder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Photis longicaudata,102383,species,Photis,Photidae,Amphipoda,Malacostraca,Arthropoda,34,34,TRUE,Very small(<1cm),NA,"Passive suspension feeder, Active suspension feeder","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ampelisca tenuicornis,101930,species,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,32,32,TRUE,Small-medium(3-10cm),1-2 years,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder","Swimmer, Burrower, Temporary attachment",Articulate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hiatella arctica,140103,species,Hiatella,Hiatellidae,Adapedonta,Bivalvia,Mollusca,32,32,TRUE,Small-medium(3-10cm),NA,"Passive suspension feeder, Active suspension feeder",Permanent attachment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amphiura chiajei,125073,species,Amphiura,Amphiuridae,Amphilepidida,Ophiuroidea,Echinodermata,31,31,TRUE,Small-medium(3-10cm),6-10 years,"Surface deposit feeder, Sub-surface deposit feeder","Crawler, Burrower","Stellate, Radial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balanus crenatus,106215,species,Balanus,Balanidae,Balanomorpha,Thecostraca,Arthropoda,31,31,TRUE,Small(1-2cm),1-2 years,"Passive suspension feeder, Active suspension feeder",Permanent attachment,Conical,Not relevant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aonides paucibranchiata,131107,species,Aonides,Spionidae,Spionida,Polychaeta,Annelida,30,30,TRUE,Small-medium(3-10cm),NA,"Surface deposit feeder, Sub-surface deposit feeder",Burrower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glycera alba,130116,species,Glycera,Glyceridae,Phyllodocida,Polychaeta,Annelida,29,29,TRUE,Small-medium(3-10cm),NA,"Predator, Scavenger","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abludomelita obtusata,102788,species,Abludomelita,Melitidae,Amphipoda,Malacostraca,Arthropoda,27,27,TRUE,Very small(<1cm),NA,"Surface deposit feeder, Sub-surface deposit feeder","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ampelisca diadema,101896,species,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,25,25,TRUE,Small(1-2cm),1-2 years,"Passive suspension feeder, Active suspension feeder","Swimmer, Burrower, Temporary attachment",Articulate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
